cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_14201_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_14202_NA	Success	3.39319114950058	2	0.033601278924756	0.933305443065259	ACAP3
chr1:clu_14203_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_14204_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_14205_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_14206_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACAP3
chr1:clu_14207_NA	Success	0.00739600900391224	1	0.903198040556165	0.990620301184578	ACAP3
chr1:clu_14208_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_14209_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_14210_NA	Success	0.000894302028939364	1	0.96626600942142	0.995176730791541	ACAP3
chr1:clu_14211_NA	Not enough valid samples	NA	NA	NA	NA	ACAP3
chr1:clu_14212_NA	Success	1.64743831629258	2	0.192542510418299	0.98315381238489	PUSL1
chr1:clu_14213_NA	Not enough valid samples	NA	NA	NA	NA	PUSL1
chr1:clu_14214_NA	Success	0.0904995717957888	1	0.670515994730148	0.98315381238489	PUSL1
chr1:clu_14215_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_14216_NA	Success	0.172163234454047	2	0.841841744374711	0.989141973701193	CPSF3L
chr1:clu_14217_NA	Success	0.162252760307297	1	0.568912489989782	0.98315381238489	CPSF3L
chr1:clu_14218_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14219_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14220_NA	Success	1.45007237834693	2	0.234553310898504	0.98315381238489	CPSF3L
chr1:clu_14221_NA	Success	0.687577086286609	1	0.240928295705545	0.98315381238489	CPSF3L
chr1:clu_14222_NA	Success	0.02762065565814	1	0.814181798937656	0.989141973701193	CPSF3L
chr1:clu_14223_NA	Success	0.41339427255167	3	0.843049416574615	0.989141973701193	GLTPD1
chr1:clu_14224_NA	Success	1.0412450100435	2	0.353014901152388	0.98315381238489	DVL1
chr1:clu_14225_NA	Success	0.286668504190466	1	0.448935916878956	0.98315381238489	DVL1
chr1:clu_14226_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_14227_NA	Success	1.77467160460105	2	0.169539116224331	0.98315381238489	DVL1
chr1:clu_14228_NA	Success	0.192202222506438	1	0.535255426903953	0.98315381238489	DVL1
chr1:clu_14229_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_14230_NA	Success	1.45806626726039	2	0.232685792100683	0.98315381238489	DVL1
chr1:clu_14231_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MXRA8
chr1:clu_14232_NA	Success	2.56214940261793	3	0.162918385176862	0.98315381238489	AURKAIP1
chr1:clu_14233_NA	Success	0.914422018578499	3	0.608678355777741	0.98315381238489	CCNL2
chr1:clu_14234_NA	Success	2.13377861778736	4	0.371005231566513	0.98315381238489	CCNL2
chr1:clu_14235_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_14236_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_14237_NA	Not enough valid samples	NA	NA	NA	NA	CCNL2
chr1:clu_14238_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP4-758J18.2
chr1:clu_14239_NA	Not enough valid samples	NA	NA	NA	NA	RP4-758J18.2
chr1:clu_14240_NA	Success	5.53275976856528	4	0.0258374500974436	0.933305443065259	MRPL20
chr1:clu_14241_NA	Success	0.513653662513192	1	0.310791939685059	0.98315381238489	MRPL20
chr1:clu_14242_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VWA1
chr1:clu_14243_NA	Success	0.74569017704755	1	0.222002413580272	0.98315381238489	ATAD3B
chr1:clu_14244_NA	Success	0.978049024866493	3	0.581568533670087	0.98315381238489	ATAD3B
chr1:clu_14245_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3B
chr1:clu_14246_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3A
chr1:clu_14247_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14248_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATAD3A
chr1:clu_14249_NA	Success	0.128412135730514	2	0.879490834843347	0.990620301184578	ATAD3A
chr1:clu_14250_NA	Success	0.00771268159325089	1	0.901157804563363	0.990620301184578	ATAD3A
chr1:clu_14251_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SSU72
chr1:clu_14252_NA	Success	0.309779107914778	1	0.431211503082955	0.98315381238489	SSU72
chr1:clu_14253_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14254_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MIB2
chr1:clu_14255_NA	Not enough valid samples	NA	NA	NA	NA	MIB2
chr1:clu_14256_NA	Not enough valid samples	NA	NA	NA	NA	MIB2
chr1:clu_14257_NA	Success	2.05798590796036	2	0.127710932607418	0.98315381238489	MIB2
chr1:clu_14258_NA	Success	3.41294084496531	6	0.337250282491158	0.98315381238489	MIB2
chr1:clu_14259_NA	Success	2.12623980268166	1	0.0391930653862113	0.933305443065259	MIB2
chr1:clu_14260_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MIB2
chr1:clu_14261_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11B
chr1:clu_14262_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11B
chr1:clu_14263_NA	Not enough valid samples	NA	NA	NA	NA	CDK11B
chr1:clu_14264_NA	Success	2.37475253426527	5	0.447209280539349	0.98315381238489	CDK11B,CDK11A,RP1-283E3.8,SLC35E2
chr1:clu_14265_NA	Success	0.445649254719086	2	0.640408352881644	0.98315381238489	CDK11A
chr1:clu_14266_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_14267_NA	Not enough valid samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_14268_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_14269_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC35E2B
chr1:clu_14270_NA	Success	1.17376903782522	1	0.125481039653528	0.98315381238489	CDK11A
chr1:clu_14271_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11A
chr1:clu_14272_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11A
chr1:clu_14273_NA	Success	0.0262950307501342	1	0.818616144579362	0.989141973701193	CDK11A
chr1:clu_14274_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP1-283E3.8,SLC35E2
chr1:clu_14275_NA	Success	1.67393628926266	5	0.646520764410382	0.98315381238489	NADK
chr1:clu_14276_NA	Success	2.84046724245536	2	0.0583983733895009	0.962396177978357	NADK
chr1:clu_14277_NA	Success	0.314270756290171	2	0.730321262311843	0.984653379360447	NADK
chr1:clu_14278_NA	Success	4.02710279819368	3	0.0449046227607426	0.933305443065259	NADK
chr1:clu_14279_NA	Success	0.89941256878641	1	0.179854594935409	0.98315381238489	NADK
chr1:clu_14280_NA	Success	2.76430947991105	1	0.0187078660361676	0.927854875977823	GNB1
chr1:clu_14281_NA	Success	0.0482881955230212	1	0.755977437112226	0.986897708989432	GNB1
chr1:clu_14282_NA	Success	0.00361715589696843	1	0.932217858098158	0.991801654543265	GNB1
chr1:clu_14283_NA	Success	0.859146899324969	2	0.42352323620423	0.98315381238489	GNB1
chr1:clu_14284_NA	Success	4.45560508776543	10	0.540550334733023	0.98315381238489	GNB1
chr1:clu_14285_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM52
chr1:clu_14286_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14287_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14288_NA	Success	0.318339431978991	1	0.424915993557315	0.98315381238489	PRKCZ
chr1:clu_14289_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14290_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14291_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14292_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14293_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_14294_NA	Success	5.47393267184657	7	0.140909331935337	0.98315381238489	C1orf86
chr1:clu_14295_NA	Success	2.52631593351896	4	0.281939645938161	0.98315381238489	C1orf86
chr1:clu_14296_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf86
chr1:clu_14297_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SKI
chr1:clu_14298_NA	Success	0.185848783969135	1	0.542080399174603	0.98315381238489	SKI
chr1:clu_14299_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MORN1
chr1:clu_14300_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MORN1
chr1:clu_14301_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MORN1
chr1:clu_14302_NA	Not enough valid samples	NA	NA	NA	NA	MORN1
chr1:clu_14303_NA	Success	3.85863783504112	7	0.358183174537724	0.98315381238489	RER1
chr1:clu_14304_NA	Success	0.24299390391343	2	0.784276294773172	0.987003734529872	RER1
chr1:clu_14305_NA	Success	1.18237195612346	1	0.124104277541529	0.98315381238489	RER1
chr1:clu_14306_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14307_NA	Success	0.0149196730641918	1	0.862855258208183	0.989141973701193	PEX10
chr1:clu_14308_NA	Success	1.17136474685981	5	0.799971152931868	0.98849660901179	PEX10
chr1:clu_14309_NA	Success	0.582974450057407	4	0.883672456353563	0.990620301184578	PEX10
chr1:clu_14310_NA	Success	1.38224145283908	3	0.429380084793576	0.98315381238489	PEX10
chr1:clu_14311_NA	Not enough valid samples	NA	NA	NA	NA	PANK4
chr1:clu_14312_NA	Not enough valid samples	NA	NA	NA	NA	PANK4
chr1:clu_14313_NA	Success	0.0474522546286664	1	0.758032298546504	0.986897708989432	PANK4
chr1:clu_14314_NA	Not enough valid samples	NA	NA	NA	NA	PANK4
chr1:clu_14315_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM213B
chr1:clu_14316_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAM213B
chr1:clu_14317_NA	Not enough valid samples	NA	NA	NA	NA	FAM213B
chr1:clu_14318_NA	Not enough valid samples	NA	NA	NA	NA	FAM213B
chr1:clu_14319_NA	Not enough valid samples	NA	NA	NA	NA	MMEL1
chr1:clu_14320_NA	Not enough valid samples	NA	NA	NA	NA	ARHGEF16
chr1:clu_14321_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGEF16
chr1:clu_14322_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGEF16
chr1:clu_14323_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MEGF6
chr1:clu_14324_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MEGF6
chr1:clu_14325_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MEGF6
chr1:clu_14326_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MEGF6
chr1:clu_14327_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	WRAP73
chr1:clu_14328_NA	Success	3.17558869317048	2	0.0417695074219328	0.933305443065259	WRAP73
chr1:clu_14329_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TP73
chr1:clu_14330_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TP73-AS1
chr1:clu_14331_NA	Not enough valid samples	NA	NA	NA	NA	TP73-AS1
chr1:clu_14332_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TP73-AS1
chr1:clu_14333_NA	Success	0.3640379970346	2	0.694864791439767	0.98315381238489	LRRC47
chr1:clu_14334_NA	Success	0.0420092629647684	1	0.771923731415081	0.986897708989432	CEP104
chr1:clu_14335_NA	Success	0.597854892025566	1	0.274180843387617	0.98315381238489	CEP104
chr1:clu_14336_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP104
chr1:clu_14337_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP104
chr1:clu_14338_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP104
chr1:clu_14339_NA	Not enough valid samples	NA	NA	NA	NA	DFFB
chr1:clu_14340_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DFFB
chr1:clu_14341_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf174
chr1:clu_14342_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf174
chr1:clu_14343_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14344_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14345_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14346_NA	Not enough valid samples	NA	NA	NA	NA	NPHP4
chr1:clu_14347_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14348_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14349_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_14350_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KCNAB2
chr1:clu_14351_NA	Success	23.4619116103963	2	6.46578490067493e-11	8.54194843228165e-07	RPL22
chr1:clu_14352_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KCNAB2
chr1:clu_14353_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CHD5
chr1:clu_14354_NA	Success	0.128677305414328	2	0.879257651454703	0.990620301184578	RPL22
chr1:clu_14355_NA	<=1 sample with coverage>0	NA	NA	NA	NA	RP1-120G22.11,RPL22
chr1:clu_14356_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNF207
chr1:clu_14357_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNF207
chr1:clu_14358_NA	Success	0.597378348557754	3	0.754262145098738	0.986897708989432	ICMT
chr1:clu_14359_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ICMT
chr1:clu_14360_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_14361_NA	Success	0.190815867825393	1	0.536731250254169	0.98315381238489	ACOT7
chr1:clu_14362_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_14363_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HES2
chr1:clu_14364_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ESPN
chr1:clu_14365_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ESPN
chr1:clu_14366_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ESPN
chr1:clu_14367_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ESPN
chr1:clu_14368_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHG5
chr1:clu_14369_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14370_NA	Success	1.61830183395239	4	0.519039193512387	0.98315381238489	NOL9
chr1:clu_14371_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOL9
chr1:clu_14372_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZBTB48
chr1:clu_14373_NA	Not enough valid samples	NA	NA	NA	NA	ZBTB48
chr1:clu_14374_NA	Success	0.606450689496995	2	0.545282816533468	0.98315381238489	ZBTB48
chr1:clu_14375_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZBTB48
chr1:clu_14376_NA	Success	0.289703779381441	1	0.446544632707998	0.98315381238489	ZBTB48
chr1:clu_14377_NA	Success	0.237255153278049	1	0.49091950157561	0.98315381238489	KLHL21
chr1:clu_14378_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PHF13
chr1:clu_14379_NA	Not enough valid samples	NA	NA	NA	NA	THAP3
chr1:clu_14380_NA	Not enough valid samples	NA	NA	NA	NA	THAP3
chr1:clu_14381_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_14382_NA	Success	0.11704198804199	1	0.628512018152808	0.98315381238489	DNAJC11
chr1:clu_14383_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_14384_NA	Success	0.118123253913787	1	0.626930326378226	0.98315381238489	DNAJC11
chr1:clu_14385_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_14386_NA	Success	4.10025460034103	5	0.14552589443309	0.98315381238489	CAMTA1
chr1:clu_14387_NA	Success	2.25995958930471	3	0.210520408891227	0.98315381238489	CAMTA1
chr1:clu_14388_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_14389_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_14390_NA	Not enough valid samples	NA	NA	NA	NA	VAMP3
chr1:clu_14391_NA	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_14392_NA	Success	0.103091609167095	1	0.649775549552147	0.98315381238489	PER3
chr1:clu_14393_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PER3
chr1:clu_14394_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PER3
chr1:clu_14395_NA	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_14396_NA	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_14397_NA	Success	0.259665441215475	2	0.771309591041472	0.986897708989432	PARK7
chr1:clu_14398_NA	Success	3.79171459300233	4	0.108086192330361	0.98315381238489	PARK7
chr1:clu_14399_NA	Success	0.486005869030123	2	0.615078197390467	0.98315381238489	PARK7
chr1:clu_14400_NA	Success	1.1707467443297	2	0.310135263024939	0.98315381238489	ERRFI1
chr1:clu_14401_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ERRFI1
chr1:clu_14402_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE
chr1:clu_14403_NA	Not enough valid samples	NA	NA	NA	NA	RERE
chr1:clu_14404_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE
chr1:clu_14405_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE
chr1:clu_14406_NA	Not enough valid samples	NA	NA	NA	NA	RERE
chr1:clu_14407_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE
chr1:clu_14408_NA	Success	0.451475064685468	1	0.341991902805004	0.98315381238489	ENO1
chr1:clu_14409_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GPR157
chr1:clu_14410_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP3-510D11.2
chr1:clu_14411_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	H6PD
chr1:clu_14412_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	H6PD
chr1:clu_14413_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	H6PD
chr1:clu_14414_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC25A33
chr1:clu_14415_NA	Success	0.0512266198508087	1	0.748905278736682	0.986897708989432	SLC25A33
chr1:clu_14416_NA	Success	1.10345694695161	5	0.819836674615094	0.989141973701193	SLC25A33
chr1:clu_14417_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM201
chr1:clu_14418_NA	Not enough valid samples	NA	NA	NA	NA	TMEM201
chr1:clu_14419_NA	Not enough valid samples	NA	NA	NA	NA	RP11-558F24.4
chr1:clu_14420_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIK3CD
chr1:clu_14421_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PIK3CD
chr1:clu_14422_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PIK3CD
chr1:clu_14423_NA	Success	0.00426352509965966	1	0.926426297204656	0.991159333564393	PIK3CD
chr1:clu_14424_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIK3CD
chr1:clu_14425_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIK3CD
chr1:clu_14426_NA	Success	0.00249728191627696	1	0.943658624275241	0.993534536358127	PIK3CD
chr1:clu_14427_NA	Success	0.330279904222635	1	0.416362379405347	0.98315381238489	PIK3CD
chr1:clu_14428_NA	Success	0.897179675746685	2	0.407717936507898	0.98315381238489	CLSTN1
chr1:clu_14429_NA	Success	0.155707415168774	1	0.576813283927041	0.98315381238489	CLSTN1
chr1:clu_14430_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLSTN1
chr1:clu_14431_NA	Success	5.01481444164861	3	0.0183159508380847	0.927854875977823	CLSTN1
